"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-11","7.83",,"0.02",,"0.0","0.0","77","90","67",,"  360","  360","19.9","23.0","    1",,"    1",,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-12","5.82",,"0.12",,"0.0","0.0","74","84","63",,"  250","  250","21.9","32.0","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-13","5.59",,"0.00",,"0.0","0.0","68","77","54",,"  360","  320","15.0","21.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-14","9.17",,"0.00",,"0.0","0.0","59","65","45",,"  310","  330","18.1","23.9","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-15","3.80",,"0.00",,"0.0","0.0","54","69","40",,"   20","  320","15.0","23.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-16","5.82",,"0.09",,"0.0","0.0","58","72","48",,"   50","   80","13.0","15.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-17","6.71",,"0.07",,"0.0","0.0","61","76","54",,"  360","  310","14.1","18.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-18","8.50",,"0.00",,"0.0","0.0","60","62","52",,"   20","  340","15.0","23.0","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-19","8.28",,"0.00",,"0.0","0.0","62","77","51",,"   50","   40","19.9","25.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-20","3.58",,"1.26",,"0.0","0.0","63","67","60",,"  280","  270","15.0","21.9","    1","    1","    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-21","6.93",,"0.00",,"0.0","0.0","65","73","56",,"  320","  290","18.1","23.9","    1",,,,,,,,
